Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
VENTANA,"1,535,000",968.76,"1,584",Aug-25,PASIR PANJANG HILL,Resale,Strata,90,"17,056",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE CREEK @ BUKIT,"1,940,000","1,205.57","1,609",Aug-25,TOH TUCK ROAD,Resale,Strata,112,"17,321",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
CARIBBEAN AT KEPPEL BAY,"4,000,000","2,077.45","1,925",Aug-25,KEPPEL BAY DRIVE,Resale,Strata,193,"20,725",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,01 to 05
GUILIN VIEW,"1,175,000",839.59,"1,399",Aug-25,BUKIT BATOK STREET 52,Resale,Strata,78,"15,064",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,26 to 30
FOREST WOODS,"1,000,000",516.67,"1,935",Aug-25,LORONG LEW LIAN,Resale,Strata,48,"20,833",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
THE TRILINQ,"1,400,000",753.48,"1,858",Aug-25,JALAN LEMPENG,Resale,Strata,70,"20,000",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,16 to 20
NINE RESIDENCES,"1,550,000","1,173.28","1,321",Aug-25,YISHUN AVENUE 9,Resale,Strata,109,"14,220",-,Apartment,1,99 yrs lease commencing from 2013,27,Outside Central Region,06 to 10
MARTIN PLACE RESIDENCES,"1,390,000",592.02,"2,348",Aug-25,MARTIN PLACE,Resale,Strata,55,"25,273",-,Condominium,1,Freehold,09,Core Central Region,21 to 25
COMMONWEALTH TOWERS,"930,000",452.09,"2,057",Aug-25,COMMONWEALTH AVENUE,Resale,Strata,42,"22,143",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
SIGLAP V,"1,128,000",904.18,"1,248",Aug-25,FIRST STREET,Resale,Strata,84,"13,429",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
RIVER ISLES,"1,460,000",947.23,"1,541",Aug-25,EDGEDALE PLAINS,Resale,Strata,88,"16,591",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
THE TRE VER,"1,488,000",753.48,"1,975",Aug-25,POTONG PASIR AVENUE 1,Resale,Strata,70,"21,257",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,11 to 15
THE NAUTICAL,"1,720,000","1,765.3",974,Aug-25,JALAN SENDUDOK,Resale,Strata,164,"10,488",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
MONTROSA,"1,450,000","1,151.75","1,259",Aug-25,HILLVIEW AVENUE,Resale,Strata,107,"13,551",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,01 to 05
PROMENADE PEAK,"1,853,400",688.9,"2,690",Aug-25,ZION PROMENADE,New Sale,Strata,64,"28,959",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,01 to 05
PROMENADE PEAK,"2,108,600",764.24,"2,759",Aug-25,ZION PROMENADE,New Sale,Strata,71,"29,699",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,01 to 05
PROMENADE PEAK,"1,867,200",688.9,"2,710",Aug-25,ZION PROMENADE,New Sale,Strata,64,"29,175",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,01 to 05
PROMENADE PEAK,"2,820,100","1,033.34","2,729",Aug-25,ZION PROMENADE,New Sale,Strata,96,"29,376",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,01 to 05
PROMENADE PEAK,"2,980,500","1,076.4","2,769",Aug-25,ZION PROMENADE,New Sale,Strata,100,"29,805",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,833,000",656.6,"2,792",Aug-25,ZION PROMENADE,New Sale,Strata,61,"30,049",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"2,830,400","1,033.34","2,739",Aug-25,ZION PROMENADE,New Sale,Strata,96,"29,483",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"2,991,300","1,076.4","2,779",Aug-25,ZION PROMENADE,New Sale,Strata,100,"29,913",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,446,600",527.44,"2,743",Aug-25,ZION PROMENADE,New Sale,Strata,49,"29,522",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,894,800",688.9,"2,750",Aug-25,ZION PROMENADE,New Sale,Strata,64,"29,606",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"2,154,500",764.24,"2,819",Aug-25,ZION PROMENADE,New Sale,Strata,71,"30,345",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,907,900",678.13,"2,813",Aug-25,ZION PROMENADE,New Sale,Strata,63,"30,284",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
