Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PICCADILLY GRAND,"2,524,000","1,356.26","1,861",Feb-23,NORTHUMBERLAND ROAD,New Sale,Strata,126,"20,032",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
WILSHIRE RESIDENCES,"2,163,000",753.48,"2,871",Feb-23,FARRER ROAD,New Sale,Strata,70,"30,900",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
THE LILIUM,"1,570,300",699.66,"2,244",Feb-23,HOW SUN ROAD,New Sale,Strata,65,"24,158",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
FORETT@BUKIT TIMAH,"1,736,000",904.18,"1,920",Feb-23,TOH TUCK ROAD,New Sale,Strata,84,"20,667",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
PEAK RESIDENCE,"1,891,800",807.3,"2,343",Feb-23,THOMSON ROAD,New Sale,Strata,75,"25,224",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
KOPAR AT NEWTON,"3,887,660","1,528.49","2,543",Feb-23,MAKEWAY AVENUE,New Sale,Strata,142,"27,378",-,Apartment,1,99 yrs lease commencing from 2019,09,Core Central Region,21 to 25
ONE HOLLAND VILLAGE RESIDENCES,"2,165,024",796.54,"2,718",Feb-23,HOLLAND VILLAGE WAY,New Sale,Strata,74,"29,257",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,21 to 25
ONE PEARL BANK,"2,333,000",839.59,"2,779",Feb-23,PEARL BANK,New Sale,Strata,78,"29,910",-,Apartment,1,99 yrs lease commencing from 2019,03,Rest of Central Region,31 to 35
RIVIERE,"3,495,000","1,140.98","3,063",Feb-23,JIAK KIM STREET,New Sale,Strata,106,"32,972",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,31 to 35
THE GAZANIA,"1,551,000",656.6,"2,362",Feb-23,HOW SUN DRIVE,New Sale,Strata,61,"25,426",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
TERRA HILL,"1,880,000",678.13,"2,772",Feb-23,YEW SIANG ROAD,New Sale,Strata,63,"29,841",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"2,173,000",807.3,"2,692",Feb-23,YEW SIANG ROAD,New Sale,Strata,75,"28,973",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"1,846,000",678.13,"2,722",Feb-23,YEW SIANG ROAD,New Sale,Strata,63,"29,302",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"2,769,000","1,097.93","2,522",Feb-23,YEW SIANG ROAD,New Sale,Strata,102,"27,147",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"1,823,000",678.13,"2,688",Feb-23,YEW SIANG ROAD,New Sale,Strata,63,"28,937",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"2,791,000","1,087.16","2,567",Feb-23,YEW SIANG ROAD,New Sale,Strata,101,"27,634",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"1,910,000",678.13,"2,817",Feb-23,YEW SIANG ROAD,New Sale,Strata,63,"30,317",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"2,203,000",807.3,"2,729",Feb-23,YEW SIANG ROAD,New Sale,Strata,75,"29,373",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"2,410,000",904.18,"2,665",Feb-23,YEW SIANG ROAD,New Sale,Strata,84,"28,690",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"1,876,000",678.13,"2,766",Feb-23,YEW SIANG ROAD,New Sale,Strata,63,"29,778",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"2,056,000",839.59,"2,449",Feb-23,YEW SIANG ROAD,New Sale,Strata,78,"26,359",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"1,779,000",678.13,"2,623",Feb-23,YEW SIANG ROAD,New Sale,Strata,63,"28,238",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"1,712,000",678.13,"2,525",Feb-23,YEW SIANG ROAD,New Sale,Strata,63,"27,175",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"1,823,000",678.13,"2,688",Feb-23,YEW SIANG ROAD,New Sale,Strata,63,"28,937",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TERRA HILL,"2,070,000",807.3,"2,564",Feb-23,YEW SIANG ROAD,New Sale,Strata,75,"27,600",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
